epoch: 2 	 iteration: 383/6240 	 elapsed time: 3358.48	 mean loss prob: nan	 mean loss cls: 26938747912894900972104408104960.00000
epoch: 2 	 iteration: 393/6240 	 elapsed time: 3443.83	 mean loss prob: nan	 mean loss cls: 30136042385062495335616820019200.00000
epoch: 2 	 iteration: 403/6240 	 elapsed time: 3529.64	 mean loss prob: nan	 mean loss cls: 28312636496299224756215940644864.00000
epoch: 2 	 iteration: 413/6240 	 elapsed time: 3617.41	 mean loss prob: nan	 mean loss cls: 25535100411514943476228308336640.00000
epoch: 2 	 iteration: 423/6240 	 elapsed time: 3705.24	 mean loss prob: nan	 mean loss cls: 31970940322667022579952456302592.00000
epoch: 2 	 iteration: 433/6240 	 elapsed time: 3793.05	 mean loss prob: nan	 mean loss cls: 28324401762375714327344181149696.00000
epoch: 2 	 iteration: 443/6240 	 elapsed time: 3880.77	 mean loss prob: nan	 mean loss cls: 30144923154133384401534211588096.00000
epoch: 2 	 iteration: 453/6240 	 elapsed time: 3968.33	 mean loss prob: nan	 mean loss cls: 24163919821946556461468117630976.00000
epoch: 2 	 iteration: 463/6240 	 elapsed time: 4055.87	 mean loss prob: nan	 mean loss cls: 31962151431958424225852342403072.00000
epoch: 3 	 iteration: 469/6240 	 elapsed time: 4108.39	 mean loss prob: nan	 mean loss cls: 3226822787543136584761903939584.00000
epoch: 3 	 iteration: 479/6240 	 elapsed time: 4195.95	 mean loss prob: nan	 mean loss cls: 30445014810336323801571525656576.00000
epoch: 3 	 iteration: 489/6240 	 elapsed time: 4283.46	 mean loss prob: nan	 mean loss cls: 33846315514563886838315604770816.00000
epoch: 3 	 iteration: 499/6240 	 elapsed time: 4370.99	 mean loss prob: nan	 mean loss cls: 30641293588557315765118470979584.00000
epoch: 3 	 iteration: 509/6240 	 elapsed time: 4458.49	 mean loss prob: nan	 mean loss cls: 28315873999644152733145803784192.00000
epoch: 3 	 iteration: 519/6240 	 elapsed time: 4544.68	 mean loss prob: nan	 mean loss cls: 35215588419188921968238109130752.00000
epoch: 3 	 iteration: 529/6240 	 elapsed time: 4630.00	 mean loss prob: nan	 mean loss cls: 25118374010087223882673691820032.00000
